User_Questions,Bot_Response
Can you answer anything?,"I'm not certain I've got that right, and I'd rather not guess on something that matters. Let me point you to our team — 1-268-481-4200, or customerservice@acbonline.com."
What if you don't know the answer?,"I'm not certain I've got that right, and I'd rather not guess on something that matters. Let me point you to our team — 1-268-481-4200, or customerservice@acbonline.com."
Are you always right?,"I'm not certain I've got that right, and I'd rather not guess on something that matters. Let me point you to our team — 1-268-481-4200, or customerservice@acbonline.com."
I don't understand,"No problem at all. Could you rephrase that, or tell me which area you're interested in — accounts, loans, cards, transfers, FOREX, or branches?"
That's not what I meant,"No problem at all. Could you rephrase that, or tell me which area you're interested in — accounts, loans, cards, transfers, FOREX, or branches?"
You didn't answer my question,"No problem at all. Could you rephrase that, or tell me which area you're interested in — accounts, loans, cards, transfers, FOREX, or branches?"
Can you explain that differently?,"No problem at all. Could you rephrase that, or tell me which area you're interested in — accounts, loans, cards, transfers, FOREX, or branches?"
huh?,"No problem at all. Could you rephrase that, or tell me which area you're interested in — accounts, loans, cards, transfers, FOREX, or branches?"
Goodbye,Thanks for banking with ACB Caribbean. Have a great day!
Bye,Thanks for banking with ACB Caribbean. Have a great day!
See you later,Thanks for banking with ACB Caribbean. Have a great day!
That's all,Thanks for banking with ACB Caribbean. Have a great day!
I'm done,Thanks for banking with ACB Caribbean. Have a great day!
bye bye,Thanks for banking with ACB Caribbean. Have a great day!
Thank you,You're very welcome. Anything else I can help you with?
Thanks,You're very welcome. Anything else I can help you with?
Thanks a lot,You're very welcome. Anything else I can help you with?
Appreciate it,You're very welcome. Anything else I can help you with?
Cheers,You're very welcome. Anything else I can help you with?
thank you so much,You're very welcome. Anything else I can help you with?
What does ACB stand for?,"ACB stands for Antigua Commercial Bank. Our full name is Antigua Commercial Bank Caribbean Ltd., and we trade as ACB Caribbean."
What's your full company name?,"ACB stands for Antigua Commercial Bank. Our full name is Antigua Commercial Bank Caribbean Ltd., and we trade as ACB Caribbean."
Who are you?,"ACB stands for Antigua Commercial Bank. Our full name is Antigua Commercial Bank Caribbean Ltd., and we trade as ACB Caribbean."
What's the bank's official name?,"ACB stands for Antigua Commercial Bank. Our full name is Antigua Commercial Bank Caribbean Ltd., and we trade as ACB Caribbean."
Do you have any promotions?,Details of any current promotions or campaigns are published on our website and social channels. It's worth checking there or asking at a branch.
Are there any special offers?,Details of any current promotions or campaigns are published on our website and social channels. It's worth checking there or asking at a branch.
Any current deals?,Details of any current promotions or campaigns are published on our website and social channels. It's worth checking there or asking at a branch.
Is there a promotion running?,Details of any current promotions or campaigns are published on our website and social channels. It's worth checking there or asking at a branch.
What is Simply Smarter Banking?,"Our tagline is 'Simply Smarter Banking' — it's about delivering cutting-edge financial solutions with unmatched customer service, staying agile and embracing technology to keep things simple but smart."
What's your slogan?,"Our tagline is 'Simply Smarter Banking' — it's about delivering cutting-edge financial solutions with unmatched customer service, staying agile and embracing technology to keep things simple but smart."
What does your tagline mean?,"Our tagline is 'Simply Smarter Banking' — it's about delivering cutting-edge financial solutions with unmatched customer service, staying agile and embracing technology to keep things simple but smart."
Tell me about your brand promise,"Our tagline is 'Simply Smarter Banking' — it's about delivering cutting-edge financial solutions with unmatched customer service, staying agile and embracing technology to keep things simple but smart."
Do you have property auctions?,We host auctions of repossessed properties from time to time. Details of any current listings are published on our website.
Are there properties for sale?,We host auctions of repossessed properties from time to time. Details of any current listings are published on our website.
Where can I find auction listings?,We host auctions of repossessed properties from time to time. Details of any current listings are published on our website.
Do you sell repossessed property?,We host auctions of repossessed properties from time to time. Details of any current listings are published on our website.
What services does ACB offer?,"We offer personal banking with savings and chequing accounts, business and corporate banking, loans, credit cards, mortgages, foreign exchange, and investment and wealth management services."
What kind of bank are you?,"We offer personal banking with savings and chequing accounts, business and corporate banking, loans, credit cards, mortgages, foreign exchange, and investment and wealth management services."
What can you help me with?,"We offer personal banking with savings and chequing accounts, business and corporate banking, loans, credit cards, mortgages, foreign exchange, and investment and wealth management services."
Give me an overview of your products,"We offer personal banking with savings and chequing accounts, business and corporate banking, loans, credit cards, mortgages, foreign exchange, and investment and wealth management services."
What do you do?,"We offer personal banking with savings and chequing accounts, business and corporate banking, loans, credit cards, mortgages, foreign exchange, and investment and wealth management services."
Where does ACB operate?,"We operate in Antigua & Barbuda and Grenada, with branches and ATMs across both territories."
Which countries are you in?,"We operate in Antigua & Barbuda and Grenada, with branches and ATMs across both territories."
Do you operate outside Antigua?,"We operate in Antigua & Barbuda and Grenada, with branches and ATMs across both territories."
What territories do you serve?,"We operate in Antigua & Barbuda and Grenada, with branches and ATMs across both territories."
Where can I find ACB news?,"We publish updates and announcements on our website's news section, and share them on Instagram, Facebook, YouTube and LinkedIn."
Do you have announcements?,"We publish updates and announcements on our website's news section, and share them on Instagram, Facebook, YouTube and LinkedIn."
How do I keep up with ACB updates?,"We publish updates and announcements on our website's news section, and share them on Instagram, Facebook, YouTube and LinkedIn."
Where do you post news?,"We publish updates and announcements on our website's news section, and share them on Instagram, Facebook, YouTube and LinkedIn."
When was ACB founded?,"We were founded in 1955, which makes us 70 years old. We serve Antigua & Barbuda and Grenada."
How old is the bank?,"We were founded in 1955, which makes us 70 years old. We serve Antigua & Barbuda and Grenada."
How long have you been around?,"We were founded in 1955, which makes us 70 years old. We serve Antigua & Barbuda and Grenada."
What year did ACB start?,"We were founded in 1955, which makes us 70 years old. We serve Antigua & Barbuda and Grenada."
Tell me about your history,"We were founded in 1955, which makes us 70 years old. We serve Antigua & Barbuda and Grenada."
What is ACB's mission?,"We're focused on creating shared value and financial empowerment for our stakeholders through exceptional, community-focused financial services."
What do you stand for?,"We're focused on creating shared value and financial empowerment for our stakeholders through exceptional, community-focused financial services."
What are your values?,"We're focused on creating shared value and financial empowerment for our stakeholders through exceptional, community-focused financial services."
What's your core purpose?,"We're focused on creating shared value and financial empowerment for our stakeholders through exceptional, community-focused financial services."
Can I open an account for my child?,Absolutely — a parent or guardian can open a Junior Savings Account on a child's behalf. Bring your own ID plus the child's birth certificate.
How do I open an account for my kid?,Absolutely — a parent or guardian can open a Junior Savings Account on a child's behalf. Bring your own ID plus the child's birth certificate.
Can minors have an account?,Absolutely — a parent or guardian can open a Junior Savings Account on a child's behalf. Bring your own ID plus the child's birth certificate.
What do I need to open an account for my daughter?,Absolutely — a parent or guardian can open a Junior Savings Account on a child's behalf. Bring your own ID plus the child's birth certificate.
How do I close my account?,"Closing an account is done in branch. Bring your identification, and note that closure within 180 days carries a fee — $60 within 30 days, $50 within 90, and $40 within 180."
I want to close my account,"Closing an account is done in branch. Bring your identification, and note that closure within 180 days carries a fee — $60 within 30 days, $50 within 90, and $40 within 180."
Can I close my account online?,"Closing an account is done in branch. Bring your identification, and note that closure within 180 days carries a fee — $60 within 30 days, $50 within 90, and $40 within 180."
What's involved in closing an account?,"Closing an account is done in branch. Bring your identification, and note that closure within 180 days carries a fee — $60 within 30 days, $50 within 90, and $40 within 180."
What can I use as proof of address?,"For proof of address we accept a recent utility bill, a bank statement, or a credit card statement — any of them no more than three months old."
How do I prove where I live?,"For proof of address we accept a recent utility bill, a bank statement, or a credit card statement — any of them no more than three months old."
Does a utility bill work for proof of address?,"For proof of address we accept a recent utility bill, a bank statement, or a credit card statement — any of them no more than three months old."
How recent does my proof of address need to be?,"For proof of address we accept a recent utility bill, a bank statement, or a credit card statement — any of them no more than three months old."
Can I use a bank statement as proof of address?,"For proof of address we accept a recent utility bill, a bank statement, or a credit card statement — any of them no more than three months old."
How long does it take to open an account?,"If you bring all your documents — two IDs including a passport, proof of address, and proof of income — the process is straightforward. Booking an appointment in advance saves waiting."
Can I open an account same day?,"If you bring all your documents — two IDs including a passport, proof of address, and proof of income — the process is straightforward. Booking an appointment in advance saves waiting."
How quickly can I start banking with you?,"If you bring all your documents — two IDs including a passport, proof of address, and proof of income — the process is straightforward. Booking an appointment in advance saves waiting."
Do I need an appointment to open an account?,"If you bring all your documents — two IDs including a passport, proof of address, and proof of income — the process is straightforward. Booking an appointment in advance saves waiting."
Do I need a tax ID number?,If you live in the USA or Canada you'll also need to supply your income tax identification number as part of the non-resident application.
I live in the US — any extra requirements?,If you live in the USA or Canada you'll also need to supply your income tax identification number as part of the non-resident application.
What do Canadian residents need to provide?,If you live in the USA or Canada you'll also need to supply your income tax identification number as part of the non-resident application.
Is a tax identification number required?,If you live in the USA or Canada you'll also need to supply your income tax identification number as part of the non-resident application.
How do I prove my income?,"If you're employed we'll need a letter from your employer confirming your position, years of service, and your salary or wage. If you're self-employed we'll need recent financial statements, invoices, an estimate of sales, and a completed Declaration of Income form."
What if I'm self-employed?,"If you're employed we'll need a letter from your employer confirming your position, years of service, and your salary or wage. If you're self-employed we'll need recent financial statements, invoices, an estimate of sales, and a completed Declaration of Income form."
I work for myself — what do I need to show?,"If you're employed we'll need a letter from your employer confirming your position, years of service, and your salary or wage. If you're self-employed we'll need recent financial statements, invoices, an estimate of sales, and a completed Declaration of Income form."
Do you need a job letter?,"If you're employed we'll need a letter from your employer confirming your position, years of service, and your salary or wage. If you're self-employed we'll need recent financial statements, invoices, an estimate of sales, and a completed Declaration of Income form."
What income documents do you require?,"If you're employed we'll need a letter from your employer confirming your position, years of service, and your salary or wage. If you're self-employed we'll need recent financial statements, invoices, an estimate of sales, and a completed Declaration of Income form."
How do I change my name on my account?,"Name changes need to be done in branch with supporting documentation — a marriage certificate or deed poll, along with your updated identification."
"I got married, how do I update my name?","Name changes need to be done in branch with supporting documentation — a marriage certificate or deed poll, along with your updated identification."
What do I need for a name change?,"Name changes need to be done in branch with supporting documentation — a marriage certificate or deed poll, along with your updated identification."
Do I need a passport to open an account?,One of your two IDs has to be a valid passport showing your photo and signature. The second can be a driver's licence or voter's ID card.
Can I use my driver's licence instead of a passport?,One of your two IDs has to be a valid passport showing your photo and signature. The second can be a driver's licence or voter's ID card.
Is a voter's ID accepted?,One of your two IDs has to be a valid passport showing your photo and signature. The second can be a driver's licence or voter's ID card.
What counts as valid ID at ACB?,One of your two IDs has to be a valid passport showing your photo and signature. The second can be a driver's licence or voter's ID card.
Which forms of identification do you accept?,One of your two IDs has to be a valid passport showing your photo and signature. The second can be a driver's licence or voter's ID card.
What do I need to open an account?,To open an account you'll need two government-issued photo IDs — one of them must be a valid passport — plus proof of address and proof of income. Would you like the full checklist?
What paperwork do I bring to open an account?,To open an account you'll need two government-issued photo IDs — one of them must be a valid passport — plus proof of address and proof of income. Would you like the full checklist?
Tell me what's needed to open an account,To open an account you'll need two government-issued photo IDs — one of them must be a valid passport — plus proof of address and proof of income. Would you like the full checklist?
"I want to open an account, what should I bring?",To open an account you'll need two government-issued photo IDs — one of them must be a valid passport — plus proof of address and proof of income. Would you like the full checklist?
requirements to open account,To open an account you'll need two government-issued photo IDs — one of them must be a valid passport — plus proof of address and proof of income. Would you like the full checklist?
Do you have AML requirements?,Yes — every applicant has to meet Anti-Money Laundering criteria. That's why we ask for identity verification and source of funds documentation up front.
What is AML and why does it matter?,Yes — every applicant has to meet Anti-Money Laundering criteria. That's why we ask for identity verification and source of funds documentation up front.
Why do you need so much documentation?,Yes — every applicant has to meet Anti-Money Laundering criteria. That's why we ask for identity verification and source of funds documentation up front.
Are there anti-money laundering checks?,Yes — every applicant has to meet Anti-Money Laundering criteria. That's why we ask for identity verification and source of funds documentation up front.
Do I need to explain where my money came from?,"Yes — we also ask for documentation showing the original source of your wealth. That could be savings statements, a pension letter, property sale correspondence, inheritance documents, or a maturing life policy statement."
What is a source of funds declaration?,"Yes — we also ask for documentation showing the original source of your wealth. That could be savings statements, a pension letter, property sale correspondence, inheritance documents, or a maturing life policy statement."
Why do you need to know my source of wealth?,"Yes — we also ask for documentation showing the original source of your wealth. That could be savings statements, a pension letter, property sale correspondence, inheritance documents, or a maturing life policy statement."
Do you ask about source of funds?,"Yes — we also ask for documentation showing the original source of your wealth. That could be savings statements, a pension letter, property sale correspondence, inheritance documents, or a maturing life policy statement."
What documents show source of wealth?,"Yes — we also ask for documentation showing the original source of your wealth. That could be savings statements, a pension letter, property sale correspondence, inheritance documents, or a maturing life policy statement."
Can I open a US dollar account?,Yes — you can hold accounts in both Eastern Caribbean Dollars and US Dollars. Chequing accounts in particular are offered in both currencies.
Do you offer foreign currency accounts?,Yes — you can hold accounts in both Eastern Caribbean Dollars and US Dollars. Chequing accounts in particular are offered in both currencies.
Can I hold USD with ACB?,Yes — you can hold accounts in both Eastern Caribbean Dollars and US Dollars. Chequing accounts in particular are offered in both currencies.
What currencies can my account be in?,Yes — you can hold accounts in both Eastern Caribbean Dollars and US Dollars. Chequing accounts in particular are offered in both currencies.
Can I open a joint account?,"Yes — you can open a joint account. Every account holder needs to supply the same identification, proof of address, and proof of income documents."
How do joint accounts work?,"Yes — you can open a joint account. Every account holder needs to supply the same identification, proof of address, and proof of income documents."
Can my spouse and I share an account?,"Yes — you can open a joint account. Every account holder needs to supply the same identification, proof of address, and proof of income documents."
What do we need for a joint account?,"Yes — you can open a joint account. Every account holder needs to supply the same identification, proof of address, and proof of income documents."
Can non-residents open an account?,"Yes, non-residents can open an account with us. You'll need notarised copies of a reference letter from a financial institution, a valid photo ID showing nationality, two reference letters from two different well-known banks addressed to ACB Caribbean, a job letter, and a signed Source of Funds Declaration."
I don't live in Antigua — can I still bank with you?,"Yes, non-residents can open an account with us. You'll need notarised copies of a reference letter from a financial institution, a valid photo ID showing nationality, two reference letters from two different well-known banks addressed to ACB Caribbean, a job letter, and a signed Source of Funds Declaration."
Can a foreigner open an ACB account?,"Yes, non-residents can open an account with us. You'll need notarised copies of a reference letter from a financial institution, a valid photo ID showing nationality, two reference letters from two different well-known banks addressed to ACB Caribbean, a job letter, and a signed Source of Funds Declaration."
What do overseas customers need to open an account?,"Yes, non-residents can open an account with us. You'll need notarised copies of a reference letter from a financial institution, a valid photo ID showing nationality, two reference letters from two different well-known banks addressed to ACB Caribbean, a job letter, and a signed Source of Funds Declaration."
"I'm not a resident, can I open an account?","Yes, non-residents can open an account with us. You'll need notarised copies of a reference letter from a financial institution, a valid photo ID showing nationality, two reference letters from two different well-known banks addressed to ACB Caribbean, a job letter, and a signed Source of Funds Declaration."
Can I have more than one account?,"Yes, you can hold more than one account with us — many customers keep a chequing account for daily spending and a savings account for goals."
Can I open a second account?,"Yes, you can hold more than one account with us — many customers keep a chequing account for daily spending and a savings account for goals."
How many accounts can I have?,"Yes, you can hold more than one account with us — many customers keep a chequing account for daily spending and a savings account for goals."
Is it possible to have both savings and chequing?,"Yes, you can hold more than one account with us — many customers keep a chequing account for daily spending and a savings account for goals."
How do I add someone to my account?,"You can add or remove a signatory in branch. All parties need to be present with valid identification, and for business accounts a company resolution is required."
Can I add a signatory?,"You can add or remove a signatory in branch. All parties need to be present with valid identification, and for business accounts a company resolution is required."
How do I remove someone from a joint account?,"You can add or remove a signatory in branch. All parties need to be present with valid identification, and for business accounts a company resolution is required."
Adding a second person to my account,"You can add or remove a signatory in branch. All parties need to be present with valid identification, and for business accounts a company resolution is required."
How do I open an account?,"You can apply online through the Accounts Application Form on our website, come into any branch, or call us on 1-268-481-4200 and we'll get you started."
Can I open an account online?,"You can apply online through the Accounts Application Form on our website, come into any branch, or call us on 1-268-481-4200 and we'll get you started."
Where do I apply for a new account?,"You can apply online through the Accounts Application Form on our website, come into any branch, or call us on 1-268-481-4200 and we'll get you started."
Is there an online application form?,"You can apply online through the Accounts Application Form on our website, come into any branch, or call us on 1-268-481-4200 and we'll get you started."
What's the fastest way to open an account?,"You can apply online through the Accounts Application Form on our website, come into any branch, or call us on 1-268-481-4200 and we'll get you started."
how to open account,"You can apply online through the Accounts Application Form on our website, come into any branch, or call us on 1-268-481-4200 and we'll get you started."
How do I change my address?,"You can update your address, phone number or email by visiting any branch with your identification. For security reasons we don't change contact details over chat."
"I moved, how do I update my details?","You can update your address, phone number or email by visiting any branch with your identification. For security reasons we don't change contact details over chat."
How do I change my phone number on file?,"You can update your address, phone number or email by visiting any branch with your identification. For security reasons we don't change contact details over chat."
Can I update my email address?,"You can update your address, phone number or email by visiting any branch with your identification. For security reasons we don't change contact details over chat."
I need to change my contact information,"You can update your address, phone number or email by visiting any branch with your identification. For security reasons we don't change contact details over chat."
What if I don't have all the documents?,"You'll need to be able to provide two government-issued photo IDs, one of which must be a passport, along with proof of address and proof of income. If you're missing something, give us a call and we'll advise."
"I don't have a passport, what now?","You'll need to be able to provide two government-issued photo IDs, one of which must be a passport, along with proof of address and proof of income. If you're missing something, give us a call and we'll advise."
Can I open an account without a job letter?,"You'll need to be able to provide two government-issued photo IDs, one of which must be a passport, along with proof of address and proof of income. If you're missing something, give us a call and we'll advise."
What if I'm missing paperwork?,"You'll need to be able to provide two government-issued photo IDs, one of which must be a passport, along with proof of address and proof of income. If you're missing something, give us a call and we'll advise."
What's the difference between savings and chequing?,"A savings account earns interest — 2% per annum on our standard product — and is meant for money you're setting aside. A chequing account is for day-to-day spending and bill payments, comes with a cheque book, and carries a $20 monthly service charge."
Should I get savings or chequing?,"A savings account earns interest — 2% per annum on our standard product — and is meant for money you're setting aside. A chequing account is for day-to-day spending and bill payments, comes with a cheque book, and carries a $20 monthly service charge."
"Which is better, a savings or current account?","A savings account earns interest — 2% per annum on our standard product — and is meant for money you're setting aside. A chequing account is for day-to-day spending and bill payments, comes with a cheque book, and carries a $20 monthly service charge."
Explain savings versus chequing,"A savings account earns interest — 2% per annum on our standard product — and is meant for money you're setting aside. A chequing account is for day-to-day spending and bill payments, comes with a cheque book, and carries a $20 monthly service charge."
What does it cost to close a dormant account?,"Closing a dormant account costs $25. If an account has simply gone inactive, reactivating it is $10."
How do I reactivate a dormant account?,"Closing a dormant account costs $25. If an account has simply gone inactive, reactivating it is $10."
My account went inactive — what now?,"Closing a dormant account costs $25. If an account has simply gone inactive, reactivating it is $10."
Is there a fee for a dormant account?,"Closing a dormant account costs $25. If an account has simply gone inactive, reactivating it is $10."
"I just had a baby, what account should I open?","Congratulations! A Junior Savings Account is a lovely way to start — $100 opens it, there's a gift when you open, and it earns 2.25% per annum with a passbook so your child can watch it grow."
How do I start saving for my child's future?,"Congratulations! A Junior Savings Account is a lovely way to start — $100 opens it, there's a gift when you open, and it earns 2.25% per annum with a passbook so your child can watch it grow."
Best account for a newborn?,"Congratulations! A Junior Savings Account is a lovely way to start — $100 opens it, there's a gift when you open, and it earns 2.25% per annum with a passbook so your child can watch it grow."
I want to save for my kid's education,"Congratulations! A Junior Savings Account is a lovely way to start — $100 opens it, there's a gift when you open, and it earns 2.25% per annum with a passbook so your child can watch it grow."
I want to save for something specific,"For a specific savings goal the Golden Savings Account is worth a look — 2.25% per annum with monthly deposits in multiples of $100. If you'd rather keep full access to your money, the standard Savings Account at 2% may suit better."
Which account helps me save for a goal?,"For a specific savings goal the Golden Savings Account is worth a look — 2.25% per annum with monthly deposits in multiples of $100. If you'd rather keep full access to your money, the standard Savings Account at 2% may suit better."
How should I save for a deposit?,"For a specific savings goal the Golden Savings Account is worth a look — 2.25% per annum with monthly deposits in multiples of $100. If you'd rather keep full access to your money, the standard Savings Account at 2% may suit better."
Best account for building savings?,"For a specific savings goal the Golden Savings Account is worth a look — 2.25% per annum with monthly deposits in multiples of $100. If you'd rather keep full access to your money, the standard Savings Account at 2% may suit better."
What is Freedom 55?,"Freedom 55 is exclusively for customers aged 55 and over. It pays 2.1% per annum, has no monthly service charge, and requires a $10,000 minimum opening balance."
Tell me about the Freedom 55 account,"Freedom 55 is exclusively for customers aged 55 and over. It pays 2.1% per annum, has no monthly service charge, and requires a $10,000 minimum opening balance."
Do you have accounts for seniors?,"Freedom 55 is exclusively for customers aged 55 and over. It pays 2.1% per annum, has no monthly service charge, and requires a $10,000 minimum opening balance."
What's the rate on Freedom 55?,"Freedom 55 is exclusively for customers aged 55 and over. It pays 2.1% per annum, has no monthly service charge, and requires a $10,000 minimum opening balance."
Is there an account for older customers?,"Freedom 55 is exclusively for customers aged 55 and over. It pays 2.1% per annum, has no monthly service charge, and requires a $10,000 minimum opening balance."
freedom 55 details,"Freedom 55 is exclusively for customers aged 55 and over. It pays 2.1% per annum, has no monthly service charge, and requires a $10,000 minimum opening balance."
What if my Freedom 55 balance drops?,"If a Freedom 55 balance falls below $10,000 the account is treated as a regular savings account and the benefits are paused until the balance is restored."
Do I lose Freedom 55 benefits if my balance falls?,"If a Freedom 55 balance falls below $10,000 the account is treated as a regular savings account and the benefits are paused until the balance is restored."
What's the minimum balance for Freedom 55?,"If a Freedom 55 balance falls below $10,000 the account is treated as a regular savings account and the benefits are paused until the balance is restored."
Does Freedom 55 have a balance requirement?,"If a Freedom 55 balance falls below $10,000 the account is treated as a regular savings account and the benefits are paused until the balance is restored."
What interest does a junior account earn?,"Junior Savings earns 2.25% per annum — higher than our standard savings rate — and interest is paid quarterly in March, June, September and December."
